id,url,label
vid_13,images/0d79a1f5-1ea9-4946-9891-7da099bc2015.mp4,Modern typography with purple and orange geometric patterns
img_31,images/65bcb2d1-9f5a-4a99-ae36-ba7a25376d23.jpg,Earthy tones and geometric lines
vid_23,images/baseten-hero.mp4,Black and white minimal Baseten hero animation
img_17,images/3c792027-cf54-4fed-8411-f09bb05482ed.jpg,Serif typeface with geometric shapes in minimalistic style
img_26,images/c7c059ce-0671-4cce-8723-a041ba562672.jpg,Soft gradient abstract art
img_16,images/2a07073f-bfd7-4a0f-bdb9-0853e9bbaf34.jpg,High contrast orange/black palette
img_12,images/8f7d23ae-bde5-46fd-b31b-36bced0b6530.jpg,Minimal logo with serif typography
img_28,images/d999f61f-275c-406d-b120-20a133ffcb7f.jpg,Organic minimalist icon + serif
img_34,images/34e3da33-61e1-4cfe-8934-81e8cc95b8c5.jpg,Colorful modern brand system
img_30,images/65d31c98-4161-4a3e-8939-0fc649a8845a.jpg,Mono typography with impactful colors
img_01,images/afe82837-5cfc-4c9b-ace8-820aacadcbdd.jpg,Typography-heavy brand with serif fonts and magenta icons
img_03,images/6ca1b2ab-c24c-42ba-bf97-e939e49ab0b9.jpg,Minimal serif brand with geometric shapes and muted colors
img_05,images/332c51eb-2b2a-462a-a21b-2db7c53b8875.jpg,Modern tech identity with minimal elements
img_20,images/9546be50-78d5-4d01-b486-af4e61d9ce70.jpg,Clean and minimal brand system based on lines and shapes
img_14,images/0235aaa2-92fc-4e41-a366-5ce110ecb873.jpg,Pastel brand colors with bold typography
img_36,images/c1320a45-4d55-4426-ac7d-b401334d99f7.jpg,Abstract and bright blue geometric illustrations
img_21,images/f545f5ca-4543-47c4-b89d-b4a4c89e24c2.jpg,Vibrant orange and beige palette
img_19,images/5306f6e0-a710-4623-8c40-fa78ebd55273.jpg,Minimalist serif branding
img_27,images/6c851109-7c5c-4243-b4e3-05e260646049.jpg,Modernist mono typography in a grid
img_33,images/f21f2b00-9dbc-4366-98fa-7e81f72ed4bf.jpg,Bold blue modern typography billboard
img_15,images/cdcaab8a-b4a7-4752-9b73-a48789d9a2e1.jpg,Green monochromatic brand with bold typography
img_07,images/670efb65-f928-4b25-b50d-8c51cea2ee1e.jpg,Black, white and blue minimalistic branding
img_06,images/ea1e0b5b-379b-4ee3-a9f9-94986a134da5.jpg,Human-centric hand-drawn branding
img_04,images/033cdfe3-01ec-467e-a344-2aef25c1b469.jpg,Minimal serif wordmark
img_29,images/7510e402-039b-49ce-8370-f3aeae5f3ffd.jpg,Expressive serif minimal black and white branding
vid_25,images/5018cef3-b175-4ec0-9f8e-ce1ca59079dd.mp4,Minimalist neutral color palette
vid_08,images/60982c7b-2d5b-49bc-92fb-d97b68227713.mp4,Fluid geometric animation
img_09,images/80a2c07e-2ff5-4ebf-8abe-756c92cd8dc9.jpg,Minimalistic architectural brand
vid_24,images/d22e048b-b914-42b6-b44e-b6eb14034646.mp4,Geometric logo animation
vid_10,images/e9756367-e01d-4e88-bb19-732c9511665b.mp4,Dynamic brand intro
vid_18,images/c451587e-e969-4e0d-89d4-c9071964947d.mp4,Clean interface transition
img_11,images/8e211d32-5120-4a91-9d8e-47b9196da59e.jpg,Playful nature-inspired branding
img_32,images/54d0288b-2b05-4356-bb61-786c041c1bd6.jpg,Bold yellow branding
img_02,images/769f5e54-a323-455b-8871-945c15b1f1da.jpg,Purple and orange gradient background with white text
img_22,images/1f60ebc2-e7dc-4cdc-839c-07d9c671e5c7.jpg,Fun illustrated character mascots
